user_23/session_1 2
user_1/session_4 2
user_1/session_5 1
user_59/session_1 1
user_34/session_1 1
user_57/session_1 2
user_26/session_1 2
user_5/session_2 2
user_8/session_1 1
user_42/session_1 2
user_47/session_1 0
user_18/session_1 2
user_66/session_1 2
user_63/session_1 1
user_6/session_1 1
user_16/session_1 0
user_24/session_1 1
user_52/session_1 0
user_15/session_1 2
user_41/session_1 0
user_22/session_1 2
user_56/session_1 2
user_69/session_1 2
user_36/session_1 2
user_38/session_1 0
user_40/session_1 1
user_31/session_1 0
user_32/session_1 2
user_4/session_2 0
user_4/session_3 0
user_30/session_1 1
user_29/session_1 2
user_10/session_1 2
user_62/session_1 1
user_49/session_1 2
user_17/session_1 0
user_65/session_1 1
user_55/session_1 0
user_2/session_2 1
user_37/session_1 0
user_67/session_1 2
user_9/session_1 0
user_46/session_1 0
user_43/session_1 1
user_35/session_1 0
user_27/session_1 0
user_64/session_1 0
user_7/session_1 1
user_11/session_1 1
user_39/session_1 0
user_44/session_1 2
user_25/session_1 1
user_28/session_1 0
user_68/session_1 0
user_33/session_1 0
user_20/session_1 2
user_12/session_1 0
