ID cluster length robot_feedback previous_result current_result engagement action
user_34/session_1 0 7 0 3 1 0.2750510368 2
user_34/session_1 0 5 0 3 1 0.478300872 1
user_34/session_1 0 5 2 2 1 0.4743078984 5
user_34/session_1 0 7 0 2 -1 0.3558944882 2
user_34/session_1 0 3 0 -3 1 0.4297403579 0
user_34/session_1 0 3 1 1 1 0.4305113465 4
user_34/session_1 0 5 0 1 1 0.321222922 1
user_57/session_1 0 5 0 0 1 0.5137386796 1
user_57/session_1 0 7 0 2 1 0.3713014836 2
user_57/session_1 0 7 1 3 1 0.2971725334 4
user_57/session_1 0 9 0 3 -1 0.4693970666 3
user_57/session_1 0 7 0 -4 1 0.2391876466 2
user_57/session_1 0 5 0 3 1 0.2594468961 1
user_57/session_1 0 3 0 2 1 0.5396872451 0
user_57/session_1 0 7 0 1 -1 0.2673949607 2
user_57/session_1 0 9 0 -3 -1 0.1455013623 3
user_57/session_1 0 9 2 -4 -1 0.2804078254 5
user_57/session_1 0 9 0 -4 -1 0.2476222137 3
user_57/session_1 0 9 1 -4 -1 0.3655545294 4
user_57/session_1 0 5 0 -4 -1 0.4994903654 1
user_57/session_1 0 5 0 -2 1 0.4808668881 1
user_57/session_1 0 3 0 2 1 0.3710977563 0
user_57/session_1 0 3 2 1 1 0.3337651956 5
user_57/session_1 0 7 0 1 1 0.4506292055 2
user_57/session_1 0 9 0 3 1 0.3401098726 3
user_57/session_1 0 7 0 4 1 0.2309778042 2
user_57/session_1 0 5 0 3 1 0.32829178 1
user_57/session_1 0 5 1 2 1 0.3539649275 4
user_57/session_1 0 3 0 2 1 0.3649936013 0
user_57/session_1 0 3 1 1 1 0.2160553846 4
user_57/session_1 0 9 0 1 -1 0.2200035119 3
user_57/session_1 0 7 0 -4 1 0.3043204551 2
user_26/session_1 0 3 0 0 1 0.4284629772 0
user_26/session_1 0 5 0 1 1 0.2670771075 1
user_26/session_1 0 7 0 2 1 0.1517531877 2
user_26/session_1 0 7 1 3 1 0.0685639 4
user_26/session_1 0 7 0 3 -1 0.0524806073 2
user_26/session_1 0 9 0 -3 -1 0.2073592542 3
user_26/session_1 0 9 2 -4 -1 0.2180206136 5
user_26/session_1 0 5 0 -4 1 0.0471474989 1
user_26/session_1 0 5 1 2 1 0.2581485179 4
user_26/session_1 0 3 0 2 1 0.036257666 0
user_26/session_1 0 3 0 1 1 0.2780316569 0
user_26/session_1 0 7 0 1 1 0.4443852512 2
user_26/session_1 0 7 1 3 1 0.0926144319 4
user_26/session_1 0 9 0 3 -1 0.2836315151 3
user_26/session_1 0 9 2 -4 1 0.2595091041 5
user_26/session_1 0 7 0 4 1 0.0882946346 2
user_26/session_1 0 5 0 3 1 0.271856238 1
user_26/session_1 0 5 1 2 1 0.2126716037 4
user_26/session_1 0 3 0 2 1 0.4785107243 0
user_26/session_1 0 5 0 1 1 0.3767054278 1
user_26/session_1 0 9 0 2 -1 0.2021241676 3
user_26/session_1 0 9 2 -4 -1 0.2889228429 5
user_26/session_1 0 9 1 -4 -1 0.0781352918 4
user_26/session_1 0 5 0 -4 1 0.1393494727 1
user_26/session_1 0 3 0 2 1 0.27694142 0
user_5/session_2 0 3 0 0 1 0.5892257374 0
user_5/session_2 0 5 0 1 1 0.1457816391 1
user_5/session_2 0 7 0 2 -1 0.2548261329 2
user_5/session_2 0 7 2 -3 1 0.2629685631 5
user_5/session_2 0 5 0 3 1 0.2418306637 1
user_5/session_2 0 3 0 2 1 0.1735439737 0
user_5/session_2 0 3 1 1 1 0.4697546499 4
user_5/session_2 0 7 0 1 1 0.3156278103 2
user_5/session_2 0 9 0 3 1 0.325354039 3
user_5/session_2 0 9 2 4 -1 0.4099406046 5
user_5/session_2 0 9 0 -4 -1 0.4037590332 3
user_5/session_2 0 5 0 -4 1 0.248421099 1
user_5/session_2 0 5 2 2 -1 0.206793017 5
user_5/session_2 0 3 0 -2 1 0.4485646393 0
user_5/session_2 0 3 1 1 1 0.3780887086 4
user_5/session_2 0 7 0 1 1 0.4480292182 2
user_5/session_2 0 7 2 3 1 0.3915126661 5
user_5/session_2 0 7 0 3 1 0.277464134 2
user_5/session_2 0 9 0 3 -1 0.2400934596 3
user_5/session_2 0 7 0 -4 1 0.4346669641 2
user_5/session_2 0 5 0 3 1 0.318148039 1
user_5/session_2 0 5 1 2 -1 0.3451729165 4
user_5/session_2 0 9 0 -2 -1 0.3429231283 3
user_5/session_2 0 7 0 -4 -1 0.5768717075 2
user_5/session_2 0 9 0 -3 -1 0.426723353 3
user_8/session_1 2 3 0 0 1 0.1411844811 0
user_8/session_1 2 5 0 1 1 0.3337862672 1
user_8/session_1 2 5 1 2 1 0.4907038946 4
user_8/session_1 2 7 0 2 1 0.2423438976 2
user_8/session_1 2 9 0 3 1 0.2252448847 3
user_8/session_1 2 9 1 4 1 0.2354821141 4
user_8/session_1 2 5 0 4 1 0.3843929657 1
user_8/session_1 2 3 0 2 1 0.3575578056 0
user_8/session_1 2 3 1 1 1 0.6732805246 4
user_8/session_1 2 7 0 1 -1 0.1835324698 2
user_8/session_1 2 3 0 -3 1 0.6859073133 0
user_8/session_1 2 3 2 1 1 0.4465141037 5
user_8/session_1 2 5 0 1 1 0.3143792479 1
user_8/session_1 2 7 0 2 -1 0.229415973 2
user_8/session_1 2 9 0 -3 1 0.1929834562 3
user_8/session_1 2 9 1 4 1 0.1853079209 4
user_8/session_1 2 7 0 4 1 0.2448877031 2
user_8/session_1 2 3 0 3 1 0.3084825431 0
user_8/session_1 2 3 2 1 1 0.1037414128 5
user_8/session_1 2 5 0 1 1 0.3898210068 1
user_8/session_1 2 3 0 2 1 0.3065327667 0
user_8/session_1 2 7 0 1 1 0.4276108679 2
user_8/session_1 2 7 2 3 -1 0.3221626071 5
user_8/session_1 2 7 0 -3 1 0.3843552865 2
user_8/session_1 2 5 0 3 1 0.3663553174 1
user_42/session_1 0 7 0 0 1 0.4475276528 2
user_42/session_1 0 7 0 3 -1 0.3119609651 2
user_42/session_1 0 7 2 -3 1 0.4811609006 5
user_42/session_1 0 9 0 3 -1 0.4635663075 3
user_42/session_1 0 5 0 -4 1 0.5182814053 1
user_42/session_1 0 5 1 2 1 0.5159887784 4
user_42/session_1 0 5 0 2 1 0.4511277074 1
user_42/session_1 0 3 0 2 1 0.2489312414 0
user_42/session_1 0 3 2 1 1 0.2282391693 5
user_42/session_1 0 9 0 1 -1 0.2687478222 3
user_42/session_1 0 9 1 -4 -1 0.2594717793 4
user_42/session_1 0 7 0 -4 1 0.2684693852 2
user_42/session_1 0 5 0 3 1 0.2388343924 1
user_42/session_1 0 3 0 2 1 0.2244015248 0
user_42/session_1 0 3 1 1 1 0.2975067004 4
user_42/session_1 0 5 0 1 -1 0.1726980097 1
user_42/session_1 0 5 0 -2 1 0.1919440505 1
user_42/session_1 0 9 0 2 -1 0.2849048507 3
user_42/session_1 0 9 2 -4 -1 0.1836776015 5
user_42/session_1 0 9 0 -4 -1 0.2144043914 3
user_42/session_1 0 5 0 -4 1 0.1710297756 1
user_42/session_1 0 3 0 2 1 0.0552990212 0
user_42/session_1 0 7 0 1 1 0.1654012048 2
user_42/session_1 0 7 0 3 -1 0.2185940558 2
user_42/session_1 0 7 1 -3 -1 0.2134819572 4
user_47/session_1 1 5 0 0 -1 0.4284593859 1
user_47/session_1 1 7 0 -2 -1 0.3081856519 2
user_47/session_1 1 7 1 -3 1 0.4176090993 4
user_47/session_1 1 9 0 3 -1 0.274138124 3
user_47/session_1 1 7 0 -4 -1 0.2853390998 2
user_47/session_1 1 5 0 -3 1 0.2316299422 1
user_47/session_1 1 3 0 2 1 0.2912337666 0
user_47/session_1 1 7 0 1 -1 0.3608088378 2
user_47/session_1 1 9 0 -3 -1 0.2469452298 3
user_47/session_1 1 9 2 -4 -1 0.264419603 5
user_47/session_1 1 9 0 -4 -1 0.3261304943 3
user_47/session_1 1 9 1 -4 -1 0.263573254 4
user_47/session_1 1 5 0 -4 -1 0.4273043644 1
user_47/session_1 1 5 0 -2 -1 0.2523870319 1
user_47/session_1 1 3 0 -2 1 0.5492152675 0
user_47/session_1 1 3 2 1 1 0.289809958 5
user_47/session_1 1 7 0 1 -1 0.4731666117 2
user_47/session_1 1 9 0 -3 -1 0.5241207683 3
user_47/session_1 1 7 0 -4 -1 0.4242035874 2
user_47/session_1 1 5 0 -3 1 0.2713849056 1
user_47/session_1 1 5 1 2 1 0.2124815917 4
user_47/session_1 1 3 0 2 1 0.4488630253 0
user_47/session_1 1 3 1 1 1 0.3584009304 4
user_47/session_1 1 9 0 1 -1 0.2414417541 3
user_47/session_1 1 7 0 -4 -1 0.3465308928 2
user_18/session_1 0 3 0 0 1 0.3694846451 0
user_18/session_1 0 5 0 1 1 0.4864602431 1
user_18/session_1 0 7 0 2 1 0.3297469913 2
user_18/session_1 0 9 0 3 -1 0.3598330297 3
user_18/session_1 0 9 1 -4 -1 0.198274578 4
user_18/session_1 0 7 0 -4 -1 0.4399137789 2
user_18/session_1 0 3 0 -3 1 0.242005811 0
user_18/session_1 0 3 2 1 1 0.2041952152 5
user_18/session_1 0 5 0 1 -1 0.3201399714 1
user_18/session_1 0 5 1 -2 1 0.081718046 4
user_18/session_1 0 5 0 2 1 0.2848767505 1
user_18/session_1 0 3 0 2 1 0.5352416786 0
user_18/session_1 0 3 2 1 1 0.1802062932 5
user_18/session_1 0 7 0 1 1 0.2701673588 2
user_18/session_1 0 9 0 3 1 0.5119243718 3
user_18/session_1 0 9 2 4 -1 0.104656061 5
user_18/session_1 0 5 0 -4 1 0.4064125291 1
user_18/session_1 0 7 0 2 1 0.3581651218 2
user_18/session_1 0 9 0 3 -1 0.3714117409 3
user_18/session_1 0 9 1 -4 -1 0.3010247907 4
user_18/session_1 0 7 0 -4 -1 0.3616358625 2
user_18/session_1 0 5 0 -3 1 0.3048255687 1
user_18/session_1 0 5 2 2 1 0.3030617679 5
user_18/session_1 0 5 0 2 1 0.3446431314 1
user_18/session_1 0 7 0 2 1 0.524523448 2
user_66/session_1 0 3 0 0 1 0.2868672615 0
user_66/session_1 0 5 0 1 1 0.4744990358 1
user_66/session_1 0 7 0 2 -1 0.2411882637 2
user_66/session_1 0 7 2 -3 -1 0.3051086844 5
user_66/session_1 0 5 0 -3 1 0.2501298832 1
user_66/session_1 0 3 0 2 1 0.4293039912 0
user_66/session_1 0 3 1 1 1 0.2368422509 4
user_66/session_1 0 7 0 1 -1 0.4555950975 2
user_66/session_1 0 9 0 -3 -1 0.2735491618 3
user_66/session_1 0 9 2 -4 1 0.4044710239 5
user_66/session_1 0 9 0 4 -1 0.3703273923 3
user_66/session_1 0 5 0 -4 1 0.1839975402 1
user_66/session_1 0 5 2 2 1 0.4180288299 5
user_66/session_1 0 3 0 2 1 0.2253544772 0
user_66/session_1 0 3 1 1 1 0.3572893496 4
user_66/session_1 0 7 0 1 1 0.3338912773 2
user_66/session_1 0 7 2 3 1 0.1946877281 5
user_66/session_1 0 7 0 3 1 0.2080064906 2
user_66/session_1 0 9 0 3 1 0.1947518917 3
user_66/session_1 0 7 0 4 1 0.2094319726 2
user_66/session_1 0 5 0 3 1 0.2573009887 1
user_66/session_1 0 5 1 2 1 0.2850126955 4
user_66/session_1 0 9 0 2 -1 0.1468462438 3
user_66/session_1 0 7 0 -4 1 0.2305856852 2
user_66/session_1 0 9 0 3 -1 0.2986294199 3
user_63/session_1 2 7 0 0 1 0.5071958462 2
user_63/session_1 2 9 0 3 1 0.3608573847 3
user_63/session_1 2 9 1 4 -1 0.5141714749 4
user_63/session_1 2 5 0 -4 1 0.4101349054 1
user_63/session_1 2 5 0 2 1 0.6308803278 1
user_63/session_1 2 3 0 2 1 0.543796588 0
user_63/session_1 2 3 2 1 1 0.4461970399 5
user_63/session_1 2 7 0 1 -1 0.3748508221 2
user_63/session_1 2 5 0 -3 1 0.2448762148 1
user_63/session_1 2 3 0 2 1 0.4920114366 0
user_63/session_1 2 3 1 1 1 0.3919043445 4
user_63/session_1 2 5 0 1 1 0.2487575524 1
user_63/session_1 2 5 2 2 1 0.3834374298 5
user_63/session_1 2 7 0 2 1 0.2977922646 2
user_63/session_1 2 9 0 3 1 0.3609190605 3
user_63/session_1 2 9 1 4 -1 0.4339073923 4
user_63/session_1 2 9 0 -4 1 0.2800115249 3
user_63/session_1 2 7 0 4 -1 0.3678552232 2
user_63/session_1 2 7 0 -3 -1 0.3325729294 2
user_63/session_1 2 5 0 -3 1 0.0806597226 1
user_63/session_1 2 5 2 2 1 0.4066108817 5
user_63/session_1 2 7 0 2 1 0.393766848 2
user_63/session_1 2 3 0 3 1 0.1225691221 0
user_63/session_1 2 3 1 1 1 0.1945435796 4
user_63/session_1 2 5 0 1 1 0.189713178 1
user_6/session_1 2 7 0 0 -1 0.423961521 2
user_6/session_1 2 9 0 -3 1 0.5443523286 3
user_6/session_1 2 9 1 4 1 0.3821037046 4
user_6/session_1 2 5 0 4 -1 0.2873772847 1
user_6/session_1 2 5 0 -2 1 0.3215149354 1
user_6/session_1 2 3 0 2 1 0.3394248821 0
user_6/session_1 2 3 2 1 1 0.2942502811 5
user_6/session_1 2 7 0 1 1 0.3453379422 2
user_6/session_1 2 5 0 3 1 0.3193327079 1
user_6/session_1 2 3 0 2 1 0.1867733863 0
