user_47/session_1 7 0 -2 -1 4 -0.091607513542
user_47/session_1 7 1 -3 1 3 0.128428696494
user_47/session_1 9 0 3 -1 2 -0.164607181285
user_47/session_1 7 0 -4 -1 1 0.017548673158
user_47/session_1 5 0 -3 1 0 0.002425917326
user_47/session_1 3 0 2 1 2 0.023331783369
user_47/session_1 7 0 1 -1 3 0.031791198143
user_47/session_1 9 0 -3 -1 5 -0.09321200121
user_47/session_1 9 2 -4 -1 3 0.020769318437
user_47/session_1 9 0 -4 -1 4 0.045858611559
user_47/session_1 9 1 -4 -1 1 -0.043683565259
user_47/session_1 5 0 -4 -1 1 0.123795403112
user_47/session_1 5 0 -2 -1 0 -0.141103771642
user_47/session_1 3 0 -2 1 5 0.218568706564
user_47/session_1 3 2 1 1 2 -0.155405511855
user_47/session_1 7 0 1 -1 3 0.100211889683
user_47/session_1 9 0 -3 -1 2 0.032944050036
user_47/session_1 7 0 -4 -1 1 -0.064092873975
user_47/session_1 5 0 -3 1 4 -0.080865714148
user_47/session_1 5 1 2 1 0 -0.036907603415
user_47/session_1 3 0 2 1 4 0.18839570209
user_47/session_1 3 1 1 1 3 -0.084123895269
user_47/session_1 9 0 1 -1 2 -0.117415667774
user_47/session_1 7 0 -4 -1 -1 0.073323225901
user_16/session_1 5 0 1 -1 2 -0.175935429357
user_16/session_1 7 0 -2 -1 4 0.10669077384
user_16/session_1 7 1 -3 -1 2 -0.059219156508
user_16/session_1 7 0 -3 -1 3 0.76771360031
user_16/session_1 9 0 -3 -1 5 -0.552374018397
user_16/session_1 9 2 -4 -1 1 0.119805155431
user_16/session_1 5 0 -4 1 4 -0.211271956396
user_16/session_1 5 1 2 1 0 -0.059150018223
user_16/session_1 3 0 2 1 0 -0.189481600024
user_16/session_1 3 0 1 1 2 0.054219599727
user_16/session_1 7 0 1 -1 4 -0.040078759753
user_16/session_1 7 1 -3 -1 3 0.090218750378
user_16/session_1 9 0 -3 -1 5 0.032054556504
user_16/session_1 9 2 -4 -1 2 0.233096253311
user_16/session_1 7 0 -4 -1 1 -0.235024059912
user_16/session_1 5 0 -3 1 4 0.099911529243
user_16/session_1 5 1 2 1 0 -0.001759694392
user_16/session_1 3 0 2 1 1 -0.03026243828
user_16/session_1 5 0 1 -1 3 -0.133692994064
user_16/session_1 9 0 -2 -1 5 0.057064289092
user_16/session_1 9 2 -4 -1 4 0.064496187788
user_16/session_1 9 1 -4 -1 1 0.079422312344
user_16/session_1 5 0 -4 1 0 -0.05615683035
user_16/session_1 3 0 2 1 -1 -0.166693808978
user_52/session_1 9 0 3 -1 5 -0.135566467469
user_52/session_1 9 2 -4 -1 3 0.003277514272
user_52/session_1 9 0 -4 -1 1 0.011308271809
user_52/session_1 5 0 -4 -1 0 0.111958346462
user_52/session_1 3 0 -2 1 4 -0.021966018648
user_52/session_1 3 1 1 1 1 0.121856106273
user_52/session_1 5 0 1 1 0 -0.04982013352
